Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR4192026,2017-06-25 12:02:10,2016-09-07 17:55:12,49835731,9936181690,49835731,199,3876,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/004093/SRR4192026,SRX2146733,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP087536,PRJNA342177,2,342177,SRS1677980,SAMN05750447,simple,9606,Homo sapiens,GSM2305481,,,,,,,no,,,,,GEO,SRA464616,,public,ADE07CB9472C4369F51C4C654D3B8DE5,36C25413A3F9CBC890E4AC2F5C25A717
ERR951693,2016-09-28 16:57:54,2016-09-29 02:18:55,29234778,5905425156,29234778,202,3952,,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR951/ERR951693,ERX1030663,unspecified,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP010795,PRJEB9664,,341600,ERS784721,SAMEA3753437,simple,9606,Homo sapiens,HGD-1N,,,,,,,no,,,,,"DEPARTMENT OF BIOMEDICAL SCIENCES, SEOUL NATIONAL ",ERA453644,,public,BB579A097823D2B04A53E9F3DD2A08AB,072DCDC08F5B4F055FA27801A0CA0A77
SRR1551103,2015-01-07 16:59:14,2014-08-14 14:53:35,51641490,5164149000,51641490,100,3106,,https://sra-download.ncbi.nlm.nih.gov/traces/sra7/SRR/001514/SRR1551103,SRX680663,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiScanSQ,SRP045500,PRJNA258216,2,258216,SRS684342,SAMN02990201,simple,9606,Homo sapiens,GSM1479555,,,,,,,no,,,,,GEO,SRA179316,,public,9C16C13E36B47D8B5628D30D617BCC00,E6512A8AE5EEDDABBD27BA14C10385A2
ERR752709,2016-01-12 18:08:25,2016-01-12 21:10:38,26732117,5399887634,26732117,202,3798,,https://sra-download.ncbi.nlm.nih.gov/traces/era12/ERR/ERR752/ERR752709,ERX696391,20LM01695,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP009437,PRJEB8360,,308666,ERS653490,SAMEA3232280,simple,9606,Homo sapiens,20LM01695,,,,,,,no,,,,,"MAX DELBRÜCK CENTER FOR MOLECULAR MEDICINE, BERLIN",ERA407959,,public,17F4058FCF5D281D0D2C89CD53EFE4A8,FC76500E64CB34E44AC9309A2601AA3D
ERR1737976,2016-11-26 11:34:29,2016-11-28 15:36:11,1054084,263521000,1054084,250,62,GRCh37,https://sra-download.ncbi.nlm.nih.gov/traces/era16/ERR/ERR1737/ERR1737976,ERX1807602,NT852301L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,850,0,ILLUMINA,Illumina HiSeq 2500,ERP016000,PRJEB14362,,325750,ERS1394361,SAMEA4495182,simple,9606,Homo sapiens,SAMEA4495182,,,,,,,no,,,,,THE WELLCOME TRUST SANGER INSTITUTE,ERA767147,,public,045F2BB53D6A0095F75B65DA8CB55CE3,04FC70EA55C2A049C43F9EB3CB21F4BF
SRR1560164,2016-08-15 16:26:08,2014-08-27 12:40:12,5262448,1063014496,5262448,202,665,,https://sra-download.ncbi.nlm.nih.gov/traces/sra20/SRR/001523/SRR1560164,SRX688622,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP045823,PRJNA259642,,259642,SRS691184,SAMN03009920,simple,9606,Homo sapiens,GSM1489558,,,,,,,no,,,,,GEO,SRA180432,,public,5AB1F30477B2EE745A1D4150F16D1666,3DE4121C7CF50F1E2990861EC58EA104
SRR1718841,2015-08-19 10:21:16,2014-12-16 13:58:09,33895264,1694763200,0,50,778,,https://sra-download.ncbi.nlm.nih.gov/traces/sra24/SRR/001678/SRR1718841,SRX813789,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP051211,PRJNA270506,2,270506,SRS794623,SAMN03266610,simple,9606,Homo sapiens,GSM1566749,,,,,,,no,,,,,GEO,SRA216925,,public,B3BE29FA070FB17CA77177C2DA3E81CA,DC288A2716CDE6BCB7AC835E1619C0CF
SRR4248787,2016-09-30 15:56:21,2016-09-15 19:20:39,837488,60299136,837488,72,38,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/004149/SRR4248787,SRX2168833,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP090072,PRJNA343284,,343284,SRS1696731,SAMN05777783,simple,9606,Homo sapiens,GSM2313627,,,,,,,no,,,,,GEO,SRA472324,,public,33E2472DDC615A8CECD9C830E9488770,4A2D2C9968AF7C219A55682DF66A0749
SRR2965292,2017-01-19 16:24:32,2015-11-30 12:14:58,909696,181939200,909696,200,126,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/002895/SRR2965292,SRX1454913,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066781,PRJNA304408,2,304408,SRS1181662,SAMN04301244,simple,9606,Homo sapiens,GSM1956705,,,,,,,no,,,,,GEO,SRA314130,,public,C079BC50BA648C4992309B7AB633E635,537D59AFEBA0D1A16636FCD965985FEC
SRR4113531,2017-09-01 16:56:08,2016-09-01 10:59:22,56226053,8433907950,56226053,150,2986,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/004017/SRR4113531,SRX2085886,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP083950,PRJNA341461,,341461,SRS1662914,SAMN05723621,simple,9606,Homo sapiens,GSM2300418,,,,,,,no,,,,,GEO,SRA459265,,public,CFAAC8B808714034E395774CF546E24A,B71E914109C5D3551CBB7EB486FCE38E
